SYMBOL,DATE,PREV_CLOSE,CLOSE_PRICE,DELIV_QTY,%CHANGE,AVG_DELIV_QTY_5D_PRIOR,DELIVERY_TIMES
7SEASL,2025-09-16,91.96,92.6,112470,0.6959547629404096,27609.0,4.07367162881669
93EFSL31A,2025-09-16,945.0,1003.73,31844,6.214814814814817,774.6,41.11025045184611
AADHARHFC,2025-09-16,518.65,537.8,143954,3.6922780294996587,20715.0,6.949263818489017
AARTECH,2025-09-16,55.93,57.04,17454,1.9846236366887169,5212.2,3.3486819385288364
AARVEEDEN,2025-09-16,170.55,178.7,30733,4.778657285253578,6169.8,4.981198742260689
ABSLPSE,2025-09-16,9.93,10.0,67309,0.7049345417925507,20756.0,3.2428695317016767
ACLD,2025-09-16,186.1,193.75,319200,4.110693175711986,76200.0,4.188976377952756
ADROITINFO,2025-09-16,10.43,10.73,143337,2.8763183125599303,13439.8,10.665114064197384
ADSL,2025-09-16,168.45,194.85,1102957,15.67230632235085,22778.0,48.42203002897533
AEGISLOG,2025-09-16,756.0,799.3,833544,5.727513227513222,51150.4,16.295942944727706
AEROFLEX,2025-09-16,178.65,187.55,131453,4.981808004478032,38298.0,3.432372447647397
AKSHAR,2025-09-16,0.55,0.57,3743538,3.636363636363619,1000236.0,3.742654733482898
ALEMBICLTD,2025-09-16,105.6,107.9,73223,2.178030303030314,19395.4,3.77527661198016
ALFATRAN,2025-09-16,62.75,63.64,34224,1.4183266932270926,11254.0,3.041052070374978
AMDIND,2025-09-16,54.64,59.85,148740,9.535139092240119,5944.2,25.022711214292926
ANJANI,2025-09-16,32.2,32.75,46772,1.7080745341614818,9855.8,4.745632013636641
ARAVALIS,2025-09-16,3.98,4.15,12624,4.271356783919607,774.6,16.297443841982957
ARCHITORG,2025-09-16,45.86,47.8,39860,4.230266027038809,11720.4,3.400907818845773
ARUNIS,2025-09-16,64.41,65.69,1305674,1.9872690575997536,365.2,3575.230010952903
ATL,2025-09-16,28.32,30.8,198875,8.757062146892656,8882.4,22.389782040889852
BAJAJHFL,2025-09-16,113.35,115.95,1519823,2.2937803264225924,441206.6,3.4446968835008365
BDI,2025-09-16,108.3,109.5,14400,1.1080332409972324,3840.0,3.75
BGDL,2025-09-16,219.5,230.45,196635,4.988610478359904,17994.2,10.927687810516721
BIRLACORPN,2025-09-16,1276.4,1290.0,12958,1.0654967094954488,3031.2,4.274874637107416
BIRLAPREC,2025-09-16,45.06,45.9,140614,1.8641810918774884,20854.8,6.742524502752365
BLUESTARCO,2025-09-16,1890.9,1923.95,28704,1.7478449415622166,6759.0,4.246782068353307
BLUSPRING,2025-09-16,79.24,85.06,2735916,7.34477536597679,27080.8,101.02788691619155
CANFINHOME,2025-09-16,751.8,777.2,14650,3.3785581271614915,4132.8,3.544812233836624
CASPIAN,2025-09-16,7.11,8.45,1250074,18.84669479606187,36139.8,34.58995345851388
CEATLTD,2025-09-16,3344.15,3444.75,10615,3.008238266824153,3098.2,3.4261829449357695
CEIGALL,2025-09-16,273.5,278.9,43780,1.9744058500913992,14535.0,3.0120399036807703
CHANDRIMA,2025-09-16,5.02,5.52,438820,9.9601593625498,141681.0,3.097239573407867
CHEMTECH,2025-09-16,114.8,123.7,201430,7.752613240418124,43568.0,4.623347410943812
CMMHOSP,2025-09-16,38.1,45.72,27113,19.999999999999993,2835.8,9.560970449255942
COCKERILL,2025-09-16,4380.75,4513.4,22613,3.028020316155901,5206.8,4.3429745717139125
COFFEEDAY,2025-09-16,44.45,45.24,243506,1.7772778402699645,69687.2,3.4942715448461126
CONTAINER,2025-09-16,31.92,32.55,32480,1.9736842105263015,10584.2,3.068725080780786
CYIENT,2025-09-16,1222.75,1272.15,61757,4.040073604579848,16419.4,3.7612214819055505
DCI,2025-09-16,288.5,297.15,110760,2.998266897746959,22118.0,5.0076860475630705
DIANATEA,2025-09-16,31.21,32.75,40361,4.934315924383208,7004.2,5.762399703035322
DIGISPICE,2025-09-16,31.3,32.59,449300,4.12140575079873,123886.2,3.6267154856634556
DLINKINDIA,2025-09-16,485.6,509.1,31159,4.839373970345964,6501.2,4.792807481695687
DUCON,2025-09-16,5.5,6.3,717924,14.545454545454541,70306.4,10.211360558924936
EICHERMOT,2025-09-16,6800.1,6932.55,149642,1.9477654740371437,14115.0,10.601629472192704
EKI,2025-09-16,112.7,118.3,44526,4.968944099378877,12822.0,3.4726251754796444
EMMESSA,2025-09-16,27.0,32.4,28606,19.999999999999996,1536.2,18.621273271709413
ENDURANCE,2025-09-16,2865.15,2917.9,36548,1.8410903443100708,5736.4,6.371243288473607
ESG,2025-09-16,43.15,43.26,41597,0.25492468134414703,988.2,42.09370572758551
ESSARSHPNG,2025-09-16,24.36,25.49,150251,4.6387520525451515,25682.0,5.850439996884978
EVANS,2025-09-16,162.2,162.65,10000,0.2774352651048194,3000.0,3.3333333333333335
EXPLEOSOL,2025-09-16,981.15,1058.8,15923,7.9141823370534565,1646.8,9.669055137235851
GARWSYN,2025-09-16,21.64,22.72,10248,4.990757855822543,501.8,20.422479075328816
GENNEX,2025-09-16,11.83,12.59,1242046,6.424344885883346,399313.8,3.1104509786538808
GESHIP,2025-09-16,995.65,1058.0,132244,6.262240747250543,19914.4,6.640621861567508
GLITTEKG,2025-09-16,9.08,9.53,148616,4.955947136563869,29762.6,4.993380954620901
GLOBALCA,2025-09-16,0.79,0.9,4894572,13.924050632911388,1499528.6,3.264073789589608
GMRP&UI,2025-09-16,130.2,131.7,1397607,1.1520737327188941,407068.2,3.4333485150645515
GOCLCORP,2025-09-16,346.8,372.0,55447,7.266435986159165,4687.0,11.829955195220824
GOCOLORS,2025-09-16,714.6,731.55,66907,2.3719563392107377,8392.0,7.972712106768351
GOKUL,2025-09-16,40.45,43.44,21785,7.391841779975265,6870.8,3.17066426034814
GOLDETFADD,2025-09-16,106.49,107.99,22404,1.4085829655366702,5588.2,4.009162163129451
GOPAL,2025-09-16,369.35,386.55,326565,4.656829565452819,53382.0,6.117511520737327
GRASIM,2025-09-16,2803.05,2841.6,62813,1.3752876331139197,4812.4,13.052323165156679
GREENLAM,2025-09-16,245.45,250.65,9862551,2.118557751069471,1913823.6,5.15332290813009
HDBFS,2025-09-16,787.1,793.0,414469,0.749587091856178,51584.8,8.034711775561792
HDFCLOWVOL,2025-09-16,20.92,21.14,24597,1.0516252390057306,4321.6,5.691641984450203
HERCULES,2025-09-16,172.6,179.25,13569,3.852838933951336,3392.0,4.000294811320755
HINDTIN,2025-09-16,143.1,145.35,12682,1.5723270440251573,3154.2,4.020670851562995
HMVL,2025-09-16,83.99,85.27,49936,1.523990951303728,3450.6,14.471686083579668
ICICIGI,2025-09-16,1899.85,1911.5,89165,0.613206305760986,21291.4,4.187841100162506
IIL,2025-09-16,20.26,23.66,2659428,16.78183613030601,641325.2,4.146769844690338
IMAGICAA,2025-09-16,55.78,56.95,502335,2.0975259949802827,57709.8,8.704500795358847
INNOVTEC,2025-09-16,24.04,25.7,15360,6.905158069883528,3809.2,4.032342749133677
JAGANLAM,2025-09-16,79.47,85.35,30113,7.399018497546238,4038.8,7.455927503218778
JKCEMENT,2025-09-16,6475.45,6687.45,25560,3.273903744141334,3623.2,7.054537425480238
