SYMBOL,DATE,PREV_CLOSE,CLOSE_PRICE,DELIV_QTY,%CHANGE,AVG_DELIV_QTY_5D_PRIOR,DELIVERY_TIMES,MARKET_CAP,SOURCE_URL,TRADINGVIEW_LINK
AADHARHFC,2025-09-16,518.65,537.8,143954,3.692278029499658,20715.0,6.949263818489017,"23,243",https://www.screener.in/company/AADHARHFC/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:AADHARHFC/
AARTECH,2025-09-16,55.93,57.04,17454,1.9846236366887169,5212.2,3.3486819385288364,181,https://www.screener.in/company/AARTECH/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:AARTECH/
AARVEEDEN,2025-09-16,170.55,178.7,30733,4.778657285253578,6169.8,4.981198742260689,417,https://www.screener.in/company/AARVEEDEN/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:AARVEEDEN/
ADSL,2025-09-16,168.45,194.85,1102957,15.67230632235085,22778.0,48.42203002897533,"1,128",https://www.screener.in/company/ADSL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:ADSL/
AEGISLOG,2025-09-16,756.0,799.3,833544,5.727513227513222,51150.4,16.295942944727706,"28,145",https://www.screener.in/company/AEGISLOG/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:AEGISLOG/
AEROFLEX,2025-09-16,178.65,187.55,131453,4.981808004478032,38298.0,3.432372447647397,"2,407",https://www.screener.in/company/AEROFLEX/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:AEROFLEX/
ALEMBICLTD,2025-09-16,105.6,107.9,73223,2.178030303030314,19395.4,3.77527661198016,"2,760",https://www.screener.in/company/ALEMBICLTD/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:ALEMBICLTD/
AMDIND,2025-09-16,54.64,59.85,148740,9.53513909224012,5944.2,25.02271121429293,117,https://www.screener.in/company/AMDIND/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:AMDIND/
ATL,2025-09-16,28.32,30.8,198875,8.757062146892656,8882.4,22.38978204088985,779,https://www.screener.in/company/ATL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:ATL/
BAJAJHFL,2025-09-16,113.35,115.95,1519823,2.2937803264225924,441206.6,3.4446968835008365,"96,238",https://www.screener.in/company/BAJAJHFL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:BAJAJHFL/
BIRLACORPN,2025-09-16,1276.4,1290.0,12958,1.0654967094954488,3031.2,4.274874637107416,"9,975",https://www.screener.in/company/BIRLACORPN/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:BIRLACORPN/
BLUESTARCO,2025-09-16,1890.9,1923.95,28704,1.7478449415622166,6759.0,4.246782068353307,"39,979",https://www.screener.in/company/BLUESTARCO/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:BLUESTARCO/
BLUSPRING,2025-09-16,79.24,85.06,2735916,7.34477536597679,27080.8,101.02788691619156,"1,290",https://www.screener.in/company/BLUSPRING/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:BLUSPRING/
CANFINHOME,2025-09-16,751.8,777.2,14650,3.3785581271614915,4132.8,3.544812233836624,"10,375",https://www.screener.in/company/CANFINHOME/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:CANFINHOME/
CEATLTD,2025-09-16,3344.15,3444.75,10615,3.008238266824153,3098.2,3.426182944935769,"13,863",https://www.screener.in/company/CEATLTD/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:CEATLTD/
CEIGALL,2025-09-16,273.5,278.9,43780,1.9744058500913992,14535.0,3.0120399036807703,"4,839",https://www.screener.in/company/CEIGALL/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:CEIGALL/
COFFEEDAY,2025-09-16,44.45,45.24,243506,1.7772778402699645,69687.2,3.494271544846113,941,https://www.screener.in/company/COFFEEDAY/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:COFFEEDAY/
CYIENT,2025-09-16,1222.75,1272.15,61757,4.040073604579848,16419.4,3.7612214819055514,"14,036",https://www.screener.in/company/CYIENT/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:CYIENT/
DCI,2025-09-16,288.5,297.15,110760,2.998266897746959,22118.0,5.007686047563071,410,https://www.screener.in/company/DCI/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:DCI/
DIGISPICE,2025-09-16,31.3,32.59,449300,4.12140575079873,123886.2,3.626715485663456,738,https://www.screener.in/company/DIGISPICE/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:DIGISPICE/
DLINKINDIA,2025-09-16,485.6,509.1,31159,4.839373970345964,6501.2,4.792807481695687,"1,781",https://www.screener.in/company/DLINKINDIA/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:DLINKINDIA/
DUCON,2025-09-16,5.5,6.3,717924,14.54545454545454,70306.4,10.211360558924936,193,https://www.screener.in/company/DUCON/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:DUCON/
EICHERMOT,2025-09-16,6800.1,6932.55,149642,1.947765474037144,14115.0,10.601629472192704,"1,89,100",https://www.screener.in/company/EICHERMOT/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:EICHERMOT/
ENDURANCE,2025-09-16,2865.15,2917.9,36548,1.8410903443100708,5736.4,6.371243288473607,"40,642",https://www.screener.in/company/ENDURANCE/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:ENDURANCE/
ESSARSHPNG,2025-09-16,24.36,25.49,150251,4.638752052545152,25682.0,5.850439996884978,547,https://www.screener.in/company/ESSARSHPNG/,https://in.tradingview.com/chart/ob4F1XSN/?symbol=BSE:ESSARSHPNG/
